[2025-06-25 13:03:48,838::train::INFO] Namespace(aggregation_method='sum', attention=True, condition_time=True, config='./config/drugs_default.yml', cutoff=10.0, device='cuda', edge_order=3, ema_decay=0.999, extend_radius=True, frag='ps', inv_sublayers=1, logdir='./logs', n_layers=6, nf=128, norm_constant=1, normalization_factor=1, num_steps=50, resume_iter=None, sigma=0.01, sin_embedding=False, tanh=True, type='hd', vel=False, vocab_len=50)
[2025-06-25 13:03:48,838::train::INFO] {'train': {'seed': 2023, 'batch_size': 32, 'val_freq': 50, 'max_iters': 1000000, 'optimizer': {'type': 'adamw', 'lr': 0.0001, 'weight_decay': 1e-12, 'beta1': 0.9, 'beta2': 0.999}}, 'dataset': {'train': './data/GEOM/Drugs/train_data_40k.pkl', 'val': './data/GEOM/Drugs/val_data_5k.pkl', 'test': './data/GEOM/Drugs/test_data_1k.pkl'}}
[2025-06-25 13:03:48,839::train::INFO] Loading datasets...
[2025-06-25 13:08:45,355::train::INFO] [Train] Iter 00042 | Loss 110.58526 | Grad 16585.37 | LR 0.000100 
[2025-06-25 13:08:45,792::train::INFO] [Train] Iter 00043 | Loss 108.40974 | Grad 22717.46 | LR 0.000100 
[2025-06-25 13:08:46,224::train::INFO] [Train] Iter 00044 | Loss 91.50151 | Grad 9201.57 | LR 0.000100 
[2025-06-25 13:08:46,649::train::INFO] [Train] Iter 00045 | Loss 103.81235 | Grad 5279.24 | LR 0.000100 
[2025-06-25 13:08:47,071::train::INFO] [Train] Iter 00046 | Loss 101.19620 | Grad 18575.08 | LR 0.000100 
[2025-06-25 13:08:47,484::train::INFO] [Train] Iter 00047 | Loss 79.48177 | Grad 12145.80 | LR 0.000100 
[2025-06-25 13:08:47,908::train::INFO] [Train] Iter 00048 | Loss 136.17053 | Grad 8244.19 | LR 0.000100 
[2025-06-25 13:08:48,334::train::INFO] [Train] Iter 00049 | Loss 108.69167 | Grad 3626.80 | LR 0.000100 
[2025-06-25 13:08:48,746::train::INFO] [Train] Iter 00050 | Loss 95.64236 | Grad 16891.58 | LR 0.000100 
[2025-06-25 13:10:38,561::train::INFO] Terminating...
